father,sire_show_rate,sire_lcb95,sire_show_rate_turf,sire_show_rate_dirt
Daiwa Major,0.21428571428571427,0.06604956721630965,0.25,0.23076923076923078
Dandy Man,0.38461538461538464,0.181024757242321,0.4,0.3
Danon Ballade,0.2,0.041023167506996534,0.2,0.2
Dansili,0.2,0.06110292885897761,0.23076923076923078,0.2222222222222222
Dark Angel,0.37142857142857144,0.2956067828393844,0.3894736842105263,0.23529411764705882
Dawn Approach,0.21739130434782608,0.09410939841509938,0.25,0.2222222222222222
Declaration of War,0.25925925925925924,0.13377412564451904,0.3,0.21428571428571427
Dialed In,0.29411764705882354,0.13211096575490608,0.25,0.3125
Distorted Humor,0.19148936170212766,0.1060480310374599,0.2,0.20454545454545456
Dubawi,0.2692307692307692,0.13947530657893,0.2857142857142857,0.25
Dutch Art,0.5,0.28704900279438894,0.5,0.5
Emcee,0.21428571428571427,0.06604956721630965,0.21428571428571427,0.21428571428571427
English Channel,0.11538461538461539,0.03351959498950469,0.08695652173913043,0.3
Exceed And Excel,0.36363636363636365,0.20574989875065308,0.3888888888888889,0.2727272727272727
Farhh,0.5,0.25136762740817725,0.5,0.5
Fast Company,0.25,0.05337550047023718,0.25,0.25
Fastnet Rock,0.18181818181818182,0.03677143788746509,0.25,0.2
Fed Biz,0.3076923076923077,0.17030365397347064,0.3076923076923077,0.3076923076923077
First Samurai,0.2727272727272727,0.13244818558662141,0.2727272727272727,0.2727272727272727
Flatter,0.18181818181818182,0.03677143788746509,0.25,0.2
Fort Larned,0.2777777777777778,0.12377091476954695,0.2777777777777778,0.2777777777777778
Frankel,0.2564102564102564,0.20655239168471543,0.2953020134228188,0.1509433962264151
Free Drop Billy,0.3333333333333333,0.1527176223846631,0.3,0.3333333333333333
Free Eagle,0.18181818181818182,0.03677143788746509,0.2222222222222222,0.2222222222222222
Frosted,0.2833333333333333,0.19264099972214585,0.39285714285714285,0.20512820512820512
Galileo,0.25806451612903225,0.14018509946776772,0.2727272727272727,0.25
Ghostzapper,0.35,0.18750431150540045,0.25,0.3684210526315789
Giant's Causeway,0.2,0.06110292885897761,0.25,0.21428571428571427
Gleneagles,0.2682926829268293,0.16252149828879844,0.22580645161290322,0.375
Golden Horn,0.15873015873015872,0.09020073844101399,0.1935483870967742,0.15384615384615385
Goldencents,0.3333333333333333,0.19396044933868256,0.45454545454545453,0.2608695652173913
Good Magic,0.2727272727272727,0.08726443391415033,0.2727272727272727,0.2727272727272727
Good Samaritan,0.2,0.041023167506996534,0.2,0.2
Graydar,0.4166666666666667,0.19957614988383687,0.25,0.45454545454545453
Guiliani,0.25,0.05337550047023718,0.25,0.25
Gun Runner,0.3898305084745763,0.28833471498315605,0.3684210526315789,0.3829787234042553
Gutaifan,0.23076923076923078,0.07187025554226983,0.23076923076923078,0.23076923076923078
Hard Spun,0.25,0.15442824825735682,0.25,0.25
Harry Angel,0.2,0.06110292885897761,0.2727272727272727,0.18181818181818182
Hat Trick,0.3333333333333333,0.16636269171015386,0.3333333333333333,0.3333333333333333
Havana Gold,0.15384615384615385,0.030460165659137187,0.16666666666666666,0.25
Havana Grey,0.3157894736842105,0.15634363948365287,0.3157894736842105,0.3157894736842105
Haynesfield,0.3,0.147469565559241,0.3,0.2222222222222222
Highland Reel,0.2,0.041023167506996534,0.2222222222222222,0.25
Honor Code,0.2222222222222222,0.046389263979611135,0.2222222222222222,0.2222222222222222
Hunter's Light,0.2,0.041023167506996534,0.2222222222222222,0.25
I Am Invincible,0.3076923076923077,0.17030365397347064,0.3333333333333333,0.2857142857142857
Iffraaj,0.22727272727272727,0.09884352959849337,0.3125,0.15384615384615385
Intello,0.5833333333333334,0.34981153457191755,0.5833333333333334,0.5833333333333334
Into Mischief,0.3484848484848485,0.2818234903273357,0.22580645161290322,0.3942307692307692
Invincible Army,0.25,0.05337550047023718,0.25,0.25
Invincible Spirit,0.34375,0.21336046293527158,0.34375,0.34375
Itsmyluckyday,0.25,0.05337550047023718,0.25,0.25
Jimmy Creed,0.375,0.1287563928042427,0.375,0.375
Justify,0.3163265306122449,0.24159483992316544,0.20833333333333334,0.345679012345679
Kantharos,0.5882352941176471,0.39101158302074135,0.5882352941176471,0.5882352941176471
Kendargent,0.25,0.05337550047023718,0.25,0.25
Khozan,0.36,0.2115655571970286,0.36,0.36
Kingman,0.2676056338028169,0.1856107849165917,0.2753623188405797,0.2222222222222222
Kitten's Joy,0.20833333333333334,0.12023002731419564,0.18518518518518517,0.2692307692307692
Kizuna,0.3333333333333333,0.1527176223846631,0.3333333333333333,0.3333333333333333
Klimt,0.15384615384615385,0.030460165659137187,0.25,0.16666666666666666
Le Havre,0.2222222222222222,0.10559644892751713,0.25,0.25
Lea,0.5,0.27124991407766885,0.5,0.5
Lemon Drop Kid,0.44,0.2823555265728761,0.25,0.5
Liam's Map,0.3888888888888889,0.2119081548195657,0.2222222222222222,0.4375
Lonhro,0.375,0.1287563928042427,0.375,0.375
Lope de Vega,0.2777777777777778,0.12377091476954695,0.29411764705882354,0.25
Lord Kanaloa,0.15,0.04446484244557773,0.17647058823529413,0.2
Lord Nelson,0.11764705882352941,0.022678782722445716,0.15384615384615385,0.18181818181818182
Maclean's Music,0.3333333333333333,0.21119228126000067,0.25,0.34285714285714286
Majestic Warrior,0.25,0.07882004566602895,0.25,0.25
Make Believe,0.25,0.05337550047023718,0.25,0.25
Malibu Moon,0.2702702702702703,0.1591291504679977,0.25,0.30303030303030304
Manduro,0.25,0.05337550047023718,0.25,0.25
Masar,0.2222222222222222,0.046389263979611135,0.2222222222222222,0.2222222222222222
Mastercraftsman,0.3888888888888889,0.2119081548195657,0.25,0.4117647058823529
Mastery,0.45,0.27394584508232006,0.45,0.45
